search URL:,"https://patents.google.com/?q=compounds&q=following&q=materials&q=sodium&q=siliconate&country=RU,US&before=publication:20101228&status=APPLICATION&language=RUSSIAN,ENGLISH&scholar&sort=new&clustered=false"
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20100234517A1,Curable compositions containing aqueous dispersions of organopolysiloxanes ,Henkel Ag & Co. Kgaa,"Thomas Plantenberg, Klaus Helpenstein, Ralf Dunekake, Johann Klein",2007-12-14,2010-05-24,2010-09-16,,https://patents.google.com/patent/US20100234517A1/en
US20100227137A1,Use of Pre-Coated Mat for Preparing Gypsum Board ,Georgia-Pacific Gypsum Llc,"Russell Smith, Brian Randall",2004-03-12,2010-05-17,2010-09-09,,https://patents.google.com/patent/US20100227137A1/en
US20100196986A1,Composition ,Danisco A/S,"Brian Sogaard Laursen, Jakob Broberg Kristensen",2008-06-25,2010-02-05,2010-08-05,,https://patents.google.com/patent/US20100196986A1/en
US20100212549A1,Method for preparing materials containing binder systems derived from amorphous silica and bases ,Aalborg Universitet,"Kjeld Holbek, Erik Gydesen Sogaard",2003-08-01,2010-01-22,2010-08-26,,https://patents.google.com/patent/US20100212549A1/en
US20100093666A1,"Water-stabilized antimicrobial organosilane products, compositions, and methods for using the same ","Moses Timothy C, Mcmahon Robert","Timothy C. Moses, Robert McMahon",2006-03-02,2009-12-14,2010-04-15,,https://patents.google.com/patent/US20100093666A1/en
US20100009085A1,COMPOSITION FOR USE AS NOx REMOVING TRANSLUCENT COATING ,"Millennium Inorganic Chemicals, Inc.","Graham Goodwin, John Stratton, Robert McIntyre",2004-01-30,2009-09-18,2010-01-14,,https://patents.google.com/patent/US20100009085A1/en
US20090312269A1,Antifungal Paints and Coatings ,Mcdaniel C Steven,C. Steven McDaniel,2003-07-03,2009-08-18,2009-12-17,,https://patents.google.com/patent/US20090312269A1/en
US20100007052A1,Method for the aesthetic surface treatment of a monolithic concrete floor and product of the method ,Terr-Con Decorative Concrete Floors Inc.,"Ronald F. Palermo, Christopher F. Leva, Patrick T. Leva",2003-02-14,2009-08-10,2010-01-14,,https://patents.google.com/patent/US20100007052A1/en
US20090229736A1,Joint compound composition for building elements and method of producing a structure ,Lafarge Platres,"Christian Bonetto, Marc Domenech, Alain Petit",2002-11-08,2009-05-26,2009-09-17,,https://patents.google.com/patent/US20090229736A1/en
US20100075166A1,"Compositions for the manufacture of gypsum boards, methods of manufacture thereof, and gypsum boards formed therefrom ",Georgia Pacific,Stuart Brandon Gilley,2008-09-24,2009-05-12,2010-03-25,,https://patents.google.com/patent/US20100075166A1/en
US20090249755A1,Air filter ,O'leary Richard R,Richard R. O'Leary,2008-04-08,2009-04-07,2009-10-08,,https://patents.google.com/patent/US20090249755A1/en
US20090170180A1,Immobilization of biocatalysts by template-directed silicate precipitation ,"Risha Bond, Jewett Michael C, Mcauliffe Joseph C, Ward Ii Donald E","Risha Bond, Michael C. Jewett, Joseph C. McAuliffe, E. Ward II Donald",2003-12-08,2009-02-27,2009-07-02,,https://patents.google.com/patent/US20090170180A1/en
US20090226623A1,Silicone mq resin reinforced silicone elastomer emulsions ,Yihan Liu,Yihan Liu,2003-10-08,2009-02-26,2009-09-10,,https://patents.google.com/patent/US20090226623A1/en
US20090156723A1,Sealer composition ,"Harris Research, Inc.",Edward E. Durrant,2006-05-15,2009-02-24,2009-06-18,,https://patents.google.com/patent/US20090156723A1/en
US20100305271A1,Thermoplastic compositions based on soluble starch and method for preparing such compositions ,Roquette Freres,"Leon Mentink, Didier Lagnieux, Jerome Gimenez",2008-02-01,2009-01-29,2010-12-02,,https://patents.google.com/patent/US20100305271A1/en
US20100311874A1,Method for preparing thermoplastic compositions based on plasticized starch and resulting compositions ,Roquette Freres,"Leon Mentink, Didier Lagneaux, Jerome Gimenez",2008-02-01,2009-01-29,2010-12-09,,https://patents.google.com/patent/US20100311874A1/en
US20100311905A1,Method for preparing thermoplastic compositions based on plasticized starch and resulting compositions ,Roquette Freres,"Leon Mentink, Didier Lagneaux, Jerome Gimenez",2008-02-01,2009-01-29,2010-12-09,,https://patents.google.com/patent/US20100311905A1/en
US20100151199A1,"Roofing granules with high solar reflectance, roofing materials with high solar reflectance, and the process of making the same ","Ming Liang Shiao, Sharp Jennifer A, Jacobs Gregory F","Ming Liang Shiao, Jennifer A. Sharp, Gregory F. Jacobs",2008-12-16,2008-12-16,2010-06-17,,https://patents.google.com/patent/US20100151199A1/en
US20100261020A1,Fluorine-containing polymer and aqueous treatment agent ,"Daikin Industries, Ltd.","Teruyuki Fukuda, Akihiko Ueda, Shigeru Maruyama",2007-12-13,2008-12-11,2010-10-14,,https://patents.google.com/patent/US20100261020A1/en
US20100304029A1,Glass veneer on ceramics ,Walter Henry Huber,Walter Henry Huber,2007-10-25,2008-10-24,2010-12-02,,https://patents.google.com/patent/US20100304029A1/en
US20100096129A1,Method of hydrocarbon recovery ,Schlumberger Technology Corporation,"Jerald J. Hinkel, Kevin W. England",2008-10-17,2008-10-17,2010-04-22,,https://patents.google.com/patent/US20100096129A1/en
US20100075167A1,"Compositions for the manufacture of gypsum boards, methods of manufacture thereof, and gypsum boards formed therefrom ",Georgia-Pacific Gypsum Llc,"Stuart Brandon Gilley, Hubert C. Francis, Carla Greaves Jones, Fabio E. Esguerra",2008-09-24,2008-09-24,2010-03-25,,https://patents.google.com/patent/US20100075167A1/en
US20090018295A1,Polymers for preventing or reducing aluminosilicate scale in a bayer process ,"Spitzer Donald P, Rothenberg Alan S, Heitner Howard I, Frank Kula","Donald P. Spitzer, Alan S. Rothenberg, Howard I. Heitner, Frank Kula",2002-07-22,2008-09-22,2009-01-15,,https://patents.google.com/patent/US20090018295A1/en
US20090074971A1,"Water-Stabilized Antimicrobial Organosilane Compositions, and Methods for Using the Same ","Mcmahon Robert, William Crook","Robert McMahon, William Crook",2007-09-06,2008-09-03,2009-03-19,,https://patents.google.com/patent/US20090074971A1/en
